season,player_display_name,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed
1999,Tiki Barber,16,60,253.0,0,1.0,0.0,11.0,-1.3893792524311737,66,91,0.0,32.0,6.415454219602184,0.15555555555555556,104.2,0.472,-1.1085001890048525,-0.3239097966017533,-1.0,2000.0
1999,Jerome Bettis,16,296,1082.0,7,2.0,1.0,64.0,-18.123424724197083,21,28,21.0,2.0,-3.4411611896939576,0.06378132118451026,164.04,4.315333,0.8385736348194883,1.9289842022812196,1.2810103800025343,2001.0
1999,Marshall Faulk,18,266,1349.0,8,2.0,2.0,65.0,1.0360104662983303,92,109,41.0,42.0,50.202480701942065,0.1847457627118644,328.8,6.633333,1.3731485078858596,3.2877549071383663,1.0,2002.0
1999,Eddie George,20,424,1726.0,12,7.0,6.0,83.0,-36.16331077345033,55,78,34.0,22.0,10.714229182135018,0.1315345699831366,307.7,5.892859,0.9080386326250692,2.8537021120959194,16.26938196877986,2000.0
1999,Priest Holmes,7,77,454.0,1,0.0,0.0,19.0,10.765699292969657,10,13,0.0,4.0,0.2921642218134366,0.09558823529411764,58.1,0.472,-1.1085001890048525,-0.3239097966017533,-1.0,2000.0
1999,Edgerrin James,17,380,1530.0,13,6.0,3.0,79.0,-33.90080546414421,62,89,0.0,23.0,3.4164424913753515,0.15505226480836237,305.7,7.5,1.6657025332603077,3.795779812430182,10.72027343791174,2006.0
1999,Curtis Martin,16,365,1453.0,5,1.0,0.0,84.0,-24.639798003186048,45,61,0.0,9.0,-10.681778836549286,0.1337719298245614,201.20000000000002,5.204845,0.8615321876223955,2.450400443531819,0.0,2002.0
1999,Emmitt Smith,16,341,1491.0,12,4.0,2.0,87.0,-5.6909070412081135,28,34,0.0,5.0,-6.0529951337957755,0.081145584725537,240.4,3.75,0.2942909038256588,1.5975959715266876,0.7984953406856461,2003.0
2000,Tiki Barber,19,249,1160.0,8,6.0,4.0,47.0,-29.315923943938845,81,111,0.0,31.0,11.9594054323148,0.1837748344370861,238.10000000000002,4.25,0.7965521628732606,1.89068715031382,1.2422286509202147,2001.0
2000,Jerome Bettis,16,352,1302.0,8,1.0,0.0,70.0,-8.355010060368095,13,19,0.0,4.0,3.5038373533752747,0.06375838926174497,185.9,4.315333,0.8385736348194883,1.9289842022812196,1.2810103800025343,2001.0
