,name,height,weight,age,position,feature_1,feature_2,feature_3,actual_salary,predicted_salary
0,Jared Goff,76.0,223.0,30.0,QB,31.5,104.48,48.5,53.0,41.61
1,Tua Tagovailoa,73.0,218.0,27.0,QB,27.5,103.5,84.5,53.1,36.62
2,Dak Prescott,74.0,238.0,31.0,QB,33.5,87.49,257.5,60.0,41.26
3,Davis Mills,76.0,225.0,26.0,QB,9.5,-40.27,56.5,4.06,2.5
4,Trevor Lawrence,78.0,220.0,25.0,QB,25.5,39.2,332.0,55.0,45.24
5,Tyrod Taylor,73.0,215.0,35.0,QB,3.0,-1.13,133.5,6.0,2.04
6,Kirk Cousins,75.0,202.0,36.0,QB,24.5,33.91,61.5,45.0,31.4
7,Skylar Thompson,74.0,221.0,27.0,QB,2.0,-43.41,24.0,0.22,1.67
8,Desmond Ridder,76.0,215.0,25.0,QB,7.0,-14.43,128.5,0.98,6.35
9,Joe Flacco,78.0,245.0,40.0,QB,14.0,-19.37,15.0,4.5,4.13
10,Jimmy Garoppolo,74.0,225.0,33.0,QB,7.0,-19.16,39.0,3.18,2.73
11,Jameis Winston,76.0,231.0,31.0,QB,2.0,-9.79,-6.0,4.0,1.4
12,Taylor Heinicke,73.0,210.0,32.0,QB,5.0,-1.64,124.0,2.53,2.52
13,Trevor Siemian,75.0,220.0,33.0,QB,2.0,-54.59,40.0,0.3,2.56
14,Marcus Mariota,76.0,222.0,31.0,QB,1.0,-5.11,52.0,6.0,2.4
15,Jeff Driskel,76.0,235.0,32.0,QB,2.0,-10.96,33.0,1.15,1.6
16,Carson Wentz,77.0,237.0,32.0,QB,2.0,7.06,56.0,2.5,2.89
17,Jacoby Brissett,76.0,235.0,32.0,QB,3.0,16.38,19.0,8.0,7.15
18,Nick Mullens,73.0,210.0,30.0,QB,7.0,12.3,25.0,1.9,3.96
19,Mitchell Trubisky,74.0,215.0,30.0,QB,4.0,-19.65,54.0,2.62,1.78
20,C.J. Beathard,74.0,215.0,31.0,QB,1.0,5.58,35.0,1.31,2.91
21,Joshua Dobbs,75.0,216.0,30.0,QB,13.0,-80.75,421.0,2.25,10.33
22,Tim Boyle,76.0,233.0,30.0,QB,1.0,-30.99,5.0,1.15,1.79
23,Mike White,76.0,225.0,30.0,QB,1.0,-7.24,-9.0,1.16,2.09
24,Mason Rudolph,77.0,235.0,29.0,QB,5.0,13.18,24.0,2.87,4.08
25,Baker Mayfield,73.0,215.0,30.0,QB,34.0,67.0,194.0,33.33,43.27
26,Sam Darnold,75.0,225.0,27.0,QB,2.0,-0.26,15.0,10.0,2.48
27,Brett Rypien,74.0,200.0,28.0,QB,0.0,-19.73,19.0,1.12,1.59
28,Jake Browning,74.0,209.0,29.0,QB,12.0,22.3,127.0,0.97,16.03
29,Easton Stick,73.0,224.0,29.0,QB,3.0,-34.01,144.0,2.67,2.65
30,Gardner Minshew,73.0,225.0,28.0,QB,15.0,-5.75,100.0,12.5,14.71
31,Drew Lock,76.0,228.0,28.0,QB,3.0,-0.65,14.0,5.0,2.76
32,Daniel Jones,77.0,220.0,27.0,QB,2.0,-60.46,206.0,1.12,2.32
33,Tyler Huntley,73.0,205.0,27.0,QB,3.0,3.8,55.0,1.29,2.63
34,Jordan Love,76.0,220.0,26.0,QB,37.0,108.67,249.0,55.0,46.29
35,Bailey Zappe,73.0,220.0,26.0,QB,6.0,-81.8,83.0,0.98,2.08
36,Jaren Hall,73.0,205.0,27.0,QB,0.0,-12.68,14.0,0.97,2.59
37,Derrick Henry,75.0,247.0,31.0,RB,1167.0,0.08,275.0,8.0,8.36
38,Christian McCaffrey,71.0,205.0,28.0,RB,1727.0,0.2,603.0,19.0,17.68
39,Austin Ekeler,70.0,200.0,29.0,RB,628.0,0.15,533.0,4.22,4.01
40,Alvin Kamara,70.0,215.0,29.0,RB,694.0,0.19,501.0,12.25,6.9
41,J.K. Dobbins,70.0,214.0,26.0,RB,22.0,0.14,15.0,1.61,2.67
42,Zack Moss,70.0,215.0,27.0,RB,794.0,0.1,189.0,4.0,3.34
43,A.J. Dillon,73.0,250.0,26.0,RB,770.0,0.1,203.0,2.74,3.8
44,D'Andre Swift,70.0,211.0,26.0,RB,1083.0,0.12,293.0,8.0,6.61
45,Antonio Gibson,74.0,221.0,26.0,RB,265.0,0.11,377.0,3.75,3.13
46,Clyde Edwards-Helaire,68.0,209.0,26.0,RB,276.0,0.05,247.0,1.7,1.52
47,Joshua Kelley,71.0,219.0,27.0,RB,405.0,0.04,39.0,1.12,1.05
48,Cam Akers,71.0,212.0,25.0,RB,167.0,0.06,78.0,1.18,1.06
49,DeeJay Dallas,70.0,214.0,26.0,RB,36.0,0.04,31.0,2.75,0.89
50,Nick Chubb,71.0,225.0,29.0,RB,170.0,0.14,20.0,2.28,2.68
51,Chuba Hubbard,73.0,207.0,25.0,RB,902.0,0.09,269.0,8.3,5.02
52,Gary Brightwell,73.0,218.0,27.0,RB,19.0,0.08,53.0,1.06,1.03
53,Rhamondre Stevenson,72.0,246.0,27.0,RB,619.0,0.13,261.0,9.0,3.8
54,Michael Carter,70.0,190.0,26.0,RB,187.0,0.07,87.0,1.19,1.97
57,James Conner,73.0,233.0,29.0,RB,1040.0,0.09,221.0,9.5,7.2
58,Dare Ogunbowale,70.0,205.0,30.0,RB,42.0,0.05,13.0,1.5,0.75
59,Raheem Blackshear,69.0,194.0,26.0,RB,46.0,0.04,38.0,0.98,1.14
60,Ronnie Rivers,68.0,190.0,26.0,RB,138.0,0.04,88.0,0.98,1.06
61,Julius Chestnut,73.0,215.0,24.0,RB,12.0,0.04,39.0,0.98,1.0
