,player_display_name,year_signed,games,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_fumbles,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,rushing_yards,rushing_tds,fantasy_points,salary_per_year_x,mean_adj_salary_per_year,med_adj_salary_per_year,salary_per_year_y,smoothed_salary_per_year,predicted_median_salary,predicted_mean_salary
0,Jared Goff,2024.0,18.5,433.0,651.5,4925.0,31.5,9.5,30.0,5.0,252.0,104.48477373732328,1.5,1.0988290494619073,0.1100336340016717,48.5,1.0,311.1,53.0,7.116567828764452,93.6308454543574,53.0,12.71093725970779,80.72000586320684,5.064994733603449
2,Tua Tagovailoa,2024.0,15.5,333.5,499.5,4185.5,27.5,11.5,26.0,3.5,196.0,103.49587690297176,0.0,0.9902725479495078,0.13380597528994734,84.5,0.0,257.87,53.1,7.130795996983078,93.8107159655764,53.1,12.73624038497028,68.72865232208547,4.579848560443389
3,Dak Prescott,2024.0,16.0,380.0,557.0,4145.0,33.5,14.0,32.5,2.5,207.0,87.48866512451562,1.0,0.9264144461115824,0.1405686861167711,257.5,2.0,309.54999999999995,60.0,8.112539604068289,106.22178123968555,60.0,14.48215602808202,73.94976346592405,5.017185330749632
6,Davis Mills,2024.0,10.5,155.5,259.5,1648.5,9.5,7.5,16.5,2.5,73.5,-40.27390074513643,1.0,0.7034572215253666,-0.0347438456995826,56.5,1.0,99.59,4.058,0.1530177392043888,5.598619853567417,4.058,0.3270816937404363,4.694557478164045,0.060769448059894586
7,Trevor Lawrence,2024.0,17.5,404.5,617.0,4317.0,25.5,13.5,33.0,7.5,207.0,39.20284526763888,2.0,0.901756213774423,0.0883201992440227,332.0,4.5,296.88,55.0,7.401131193136977,97.22825567873689,55.0,13.21699976495757,65.91990616415244,5.329625341490833
8,Tyrod Taylor,2024.0,6.0,61.0,94.0,699.5,3.0,2.0,10.0,1.5,27.5,-1.1346606069184586,0.5,0.7280363662583,0.14133529119752666,133.5,0.0,49.33,6.0,0.4293287660101107,9.09170518143988,6.0,0.8184683863379724,3.2795261584456807,-0.05084728326816208
9,Russell Wilson,2024.0,15.0,294.5,465.0,3297.0,21.0,9.5,50.0,5.5,138.5,-36.16660362603466,1.0,0.8945691304007619,0.0677976318700754,309.0,3.0,240.83,1.21,-0.252200491662087,0.4759076940510526,1.21,-0.3935513137352497,38.15994895660624,2.8227750557972606
10,Kirk Cousins,2024.0,13.0,335.5,496.5,3575.5,24.5,9.5,31.5,4.5,179.0,33.90775782991088,1.5,0.991110410536151,0.11169311882431648,61.5,1.5,233.07,45.0,5.978314371274351,79.24120455683953,45.0,10.686687238708672,51.85690782646776,3.9960141049154854
16,Skylar Thompson,2024.0,8.0,78.0,150.0,754.0,2.0,5.0,10.0,1.0,38.0,-43.41116059181184,1.0,0.5890625,-0.0210040491312335,24.0,0.0,28.56,0.225,-0.3923479486155556,-1.2958168414558362,0.225,-0.6427870975707661,2.344566617985231,-0.09890867604811338
18,Desmond Ridder,2024.0,9.5,161.0,251.5,1772.0,7.0,6.0,20.0,3.5,86.5,-14.431271757838719,1.0,0.8219475034748209,0.031846111687777096,128.5,2.5,109.42999999999999,0.985,-0.2842138701539961,0.0711990438083623,0.985,-0.4504833455758499,10.749865455828406,0.25214944783400506
19,Joe Flacco,2024.0,6.0,157.0,250.0,1923.0,14.0,10.0,12.0,3.0,74.0,-19.36687926605718,1.0,0.864658273381295,0.0397372403970588,15.0,0.0,114.42,4.5,0.2159062427307168,6.393647513155281,4.5,0.4389215074006377,7.962923618175616,0.2081825613116874
24,Jimmy Garoppolo,2024.0,7.0,110.0,169.0,1205.0,7.0,9.0,14.0,0.0,60.0,-19.16163541386211,1.0,0.8834310850439883,0.0223305626172094,39.0,0.0,64.1,3.17875,0.0279165701421174,4.017108383674593,3.17875,0.104603964870002,6.703224293612044,0.0407757953096636
25,Jameis Winston,2024.0,6.0,25.0,47.0,264.0,2.0,3.0,2.0,0.0,10.0,-9.789019574831215,0.0,0.4327868852459016,-0.0201951853030777,-6.0,0.0,11.96,4.0,0.1447654016375855,5.494294957060413,4.0,0.3124058810881928,2.344566617985231,-0.1226424612197333
26,Taylor Heinicke,2024.0,5.0,74.0,136.0,890.0,5.0,4.0,8.0,0.0,41.0,-1.6432791084098848,0.0,0.7834507042253521,0.0225957446350215,124.0,1.0,66.0,2.53,-0.0643886711762204,2.8501984421415023,2.53,-0.0595500602703952,4.145475311725106,-0.016667001531479562
27,Trevor Siemian,2024.0,5.0,86.0,153.0,724.0,2.0,4.0,8.0,4.0,35.0,-54.59470523672368,0.0,0.8894348894348895,-0.0214201509262628,40.0,0.0,26.96,0.3024,-0.3813353464143389,-1.1565970657723506,0.3024,-0.6232024786175997,5.0291347195339275,-0.04039182762615165
30,Marcus Mariota,2024.0,2.0,15.0,23.0,164.0,1.0,1.0,3.0,1.0,10.0,-5.110095864364313,0.0,0.9213483146067416,0.0617812333154149,52.0,0.0,11.76,6.0,0.4293287660101107,9.09170518143988,6.0,0.8184683863379724,4.279499256024196,-0.059517431109074856
31,Jeff Driskel,2024.0,1.0,13.0,26.0,166.0,2.0,2.0,3.0,0.0,8.0,-10.95720804540906,0.0,0.7155172413793104,-0.0301052342325138,33.0,0.0,13.94,1.15,-0.2607373925932628,0.3679853873196684,1.15,-0.4087331888927431,2.354250807925248,-0.1105240379069531
32,Carson Wentz,2024.0,1.0,17.0,24.0,163.0,2.0,1.0,2.0,0.0,11.0,7.064853062212933,1.0,1.0251572327044025,0.181530365591125,56.0,1.0,26.12,2.5,-0.0686571216418082,2.796237288775811,2.5,-0.0671409978491418,5.0851801348341565,0.05619240238861432
35,Jacoby Brissett,2024.0,2.0,18.0,23.0,224.0,3.0,0.0,0.0,0.0,10.0,16.375734796136385,0.0,1.2584269662921348,0.3830971277707498,19.0,0.0,22.86,8.0,0.7138921303826359,12.68911540581935,8.0,1.324530891587752,12.13380307829802,0.5660586183320472
36,Nick Mullens,2024.0,5.0,100.0,148.0,1306.0,7.0,8.0,12.0,2.0,57.0,12.29686876892386,0.0,0.946376811594203,0.1116950899373971,25.0,0.0,66.74000000000001,1.9,-0.1540261309535658,1.7170142214619697,1.9,-0.2189597494240757,9.81705006820543,0.20114384819955855
37,Mitchell Trubisky,2024.0,5.0,67.0,107.0,632.0,4.0,5.0,7.0,0.0,36.0,-19.649531939842504,1.0,0.6429298067141404,0.0117854234848865,54.0,2.0,48.68,2.625,-0.0508719113685254,3.0210754277995275,2.625,-0.0355120912710306,2.2197250072419776,-0.10802979482493448
38,C.J. Beathard,2024.0,6.0,40.0,53.0,349.0,1.0,0.0,6.0,0.0,19.0,5.580714992024477,0.0,1.0294985250737465,0.1616981647334262,35.0,0.0,21.46,1.31,-0.2379723234434607,0.6557782052700263,1.31,-0.3682481884727607,5.0851801348341565,0.06294794684430045
39,Joshua Dobbs,2024.0,13.0,262.0,417.0,2464.0,13.0,10.0,30.0,7.0,126.0,-80.74965717074797,1.0,0.7421686746987952,0.0199090454977899,421.0,6.0,202.66000000000005,2.25,-0.1042275421883739,2.346561010728377,2.25,-0.1303988110053643,20.702094486090907,0.7026513037954534
41,Tim Boyle,2024.0,3.0,48.0,77.0,360.0,1.0,4.0,9.0,1.0,16.0,-30.987578107018383,0.0,0.7547169811320755,-0.0025518666359487,5.0,0.0,10.9,1.15,-0.2607373925932628,0.3679853873196684,1.15,-0.4087331888927431,3.3580106745101133,-0.10593150906648977
42,Mike White,2024.0,6.0,5.0,6.0,74.0,1.0,1.0,0.0,0.0,1.0,-7.240901717566885,0.0,3.217391304347826,0.115670481500155,-9.0,0.0,2.06,1.16,-0.2593145757714001,0.3859724384415658,1.16,-0.4062028763664942,4.083220227803525,-0.06923526704827974
46,Mason Rudolph,2024.0,5.0,77.0,113.0,948.0,5.0,1.0,7.0,2.0,40.0,13.184287708632544,0.0,1.185,0.1236850552110673,24.0,0.0,56.32,2.87,-0.0160128992328911,3.461758180286013,2.87,0.0264805656220673,7.978888430629679,0.1525215168979989
47,Baker Mayfield,2024.0,19.0,412.0,643.0,4730.0,34.0,12.0,48.0,6.0,219.0,67.00060209138454,2.0,0.8610959402876388,0.09592236352218,194.0,1.0,324.6,33.333333,4.318361365007394,58.25631098172427,33.333333,7.734655873741209,83.55603974292934,5.293796641293302
48,Sam Darnold,2024.0,10.0,28.0,46.0,297.0,2.0,1.0,6.0,2.0,15.0,-0.2621567214636231,0.0,0.8005390835579514,0.0613013915716983,15.0,1.0,23.380000000000003,10.0,0.998455494755161,16.28652563019882,10.0,1.8305933968375316,4.2785159563983415,0.005566753861606829
49,Brett Rypien,2024.0,2.0,18.0,38.0,172.0,0.0,1.0,2.0,1.0,8.0,-19.72529150741344,0.0,0.546031746031746,-0.0726308510606462,19.0,0.0,6.78,1.125,-0.2642944346479193,0.3230177595149252,1.125,-0.4150589702083653,2.344566617985231,-0.12046881153330118
51,Jake Browning,2024.0,9.0,171.0,243.0,1936.0,12.0,7.0,24.0,3.0,93.0,22.29907713649097,1.0,1.2458172458172458,0.121132884883108,127.0,3.0,143.44,0.9725,-0.2859923911813243,0.0487152299059907,0.9725,-0.4536462362336609,25.54830802597123,1.3628118961809517
52,Easton Stick,2024.0,5.0,111.0,174.0,1129.0,3.0,1.0,14.0,5.0,53.0,-34.01198611579233,0.0,0.9377076411960132,0.0106019662854893,144.0,1.0,67.56,2.6675,-0.0448249398756093,3.0975203950675914,2.6675,-0.0247582630344728,5.078824781770069,-0.03371820515703608
53,Gardner Minshew,2024.0,16.0,305.0,490.0,3305.0,15.0,9.0,34.0,8.0,147.0,-5.751706553653355,2.0,0.9234423023190836,0.0384751096772555,100.0,3.0,196.2,12.5,1.3541597002208177,20.78328841067316,12.5,2.463171528399756,25.804653169151216,1.5315088753498325
54,Drew Lock,2024.0,4.0,48.0,76.0,543.0,3.0,3.0,6.0,0.0,20.0,-0.653722791097846,0.0,0.8743961352657005,0.0480110785774619,14.0,0.0,29.119999999999997,5.0,0.2870470838238481,7.293000069250147,5.0,0.5654371337130826,4.724715502795515,-0.009910801277010575
55,Daniel Jones,2024.0,6.0,108.0,160.0,909.0,2.0,6.0,30.0,3.0,43.0,-60.455004205716946,0.0,0.8293795620437956,0.0256447181376444,206.0,1.0,56.96000000000001,1.125,-0.2642944346479193,0.3230177595149252,1.125,-0.4150589702083653,4.268181057657692,-0.05171767457187089
56,Tyler Huntley,2024.0,5.0,21.0,37.0,203.0,3.0,0.0,4.0,0.0,13.0,3.800454755120649,0.0,0.8152610441767069,0.0406917943701466,55.0,0.0,25.62,1.2925,-0.2404622528817203,0.6243008658067059,1.2925,-0.3726762353936963,4.539709271232527,0.0348040969889277
58,Jordan Love,2024.0,19.0,409.0,634.0,4625.0,37.0,13.0,30.0,5.0,230.0,108.66983910613104,3.0,0.8691975192632964,0.1201949840827751,249.0,4.0,355.9,55.0,7.401131193136977,97.22825567873689,55.0,13.21699976495757,93.89603594733792,5.675575522227049
61,Bailey Zappe,2024.0,10.0,127.0,212.0,1272.0,6.0,9.0,25.0,2.0,53.0,-81.79545271547397,0.0,0.7544483985765125,0.0048569839051951,83.0,1.0,69.18,0.985,-0.2842138701539961,0.0711990438083623,0.985,-0.4504833455758499,5.353397353581561,-0.008336200394475251
65,Jaren Hall,2024.0,3.0,13.0,20.0,168.0,0.0,1.0,4.0,2.0,7.0,-12.676042797437358,0.0,1.0769230769230769,0.0439689706148404,14.0,0.0,2.120000000000001,0.9725,-0.2859923911813243,0.0487152299059907,0.9725,-0.4536462362336609,4.2123746108950595,-0.031177013340123946
