,player_display_name,year_signed,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,predicted_smoothed_salary
0,Derrick Henry,2024.0,17.0,280.0,1167.0,12.0,0.0,0.0,63.0,-2.098503159038166,28.0,36.0,275.0,7.0,3.1744809493247885,0.0841121495327102,218.66000000000005,8.0,9.225232560911165,9.698156966623136
1,Christian McCaffrey,2024.0,19.0,331.0,1727.0,18.0,3.0,3.0,98.0,12.050966434035216,86.0,108.0,603.0,36.0,7.789991768994026,0.1967213114754098,394.3,19.0,23.530694418725723,21.807648107540935
2,Austin Ekeler,2024.0,14.0,179.0,628.0,5.0,3.0,2.0,34.0,-41.1234789901547,51.0,74.0,533.0,21.0,-13.322743022098864,0.147117296222664,134.4,4.215,4.302853185290429,4.033198533984909
3,Alvin Kamara,2024.0,13.0,180.0,694.0,5.0,0.0,0.0,42.0,-3.1450200827093795,75.0,86.0,501.0,23.0,2.298240115110629,0.1898454746136865,158.0,12.25,14.7523428241577,7.793413129618349
4,J.K. Dobbins,2024.0,1.0,8.0,22.0,1.0,0.0,0.0,1.0,-1.840594887675252,2.0,3.0,15.0,0.0,0.519200186652597,0.1428571428571428,9.7,1.61,0.9150597180534368,2.287431012055309
5,Zack Moss,2024.0,14.0,183.0,794.0,5.0,0.0,0.0,43.0,-14.03089295560622,27.0,37.0,189.0,10.0,0.8567418099310662,0.0976253298153034,142.6,4.0,4.023246430796781,3.1600458616371565
6,A.J. Dillon,2024.0,17.0,186.0,770.0,7.0,0.0,0.0,47.0,2.279668071002535,28.0,43.0,203.0,9.0,-5.830161560658805,0.0957683741648107,139.6,2.7425,2.3878720411420717,3.7652447256387096
7,D'Andre Swift,2024.0,17.0,239.0,1083.0,5.0,2.0,0.0,52.0,-0.5005909102769057,43.0,53.0,293.0,9.0,-8.210561708618526,0.1152173913043478,166.9,8.0,9.225232560911165,7.4231634070965695
8,Antonio Gibson,2024.0,16.0,65.0,265.0,1.0,1.0,1.0,13.0,-6.735830693331081,48.0,59.0,377.0,19.0,0.8663656756786648,0.1055456171735241,79.4,3.75,3.698122297664632,2.8904582716263505
9,Clyde Edwards-Helaire,2024.0,19.0,81.0,276.0,1.0,1.0,1.0,15.0,-17.67299463690142,21.0,26.0,247.0,8.0,3.2245448109770884,0.0533880903490759,57.1,1.7,1.0321044059810105,0.8024918319499111
10,Joshua Kelley,2024.0,17.0,107.0,405.0,2.0,1.0,1.0,21.0,-26.154033202018944,8.0,12.0,39.0,0.0,-5.66513554926496,0.0412371134020618,53.7,1.125,0.2843188997770676,0.19132356138010514
12,Cam Akers,2024.0,7.0,60.0,167.0,2.0,0.0,0.0,12.0,-4.78788391471329,11.0,12.0,78.0,2.0,1.2472380947438069,0.058252427184466,35.7,1.175,0.3493437264034975,0.20548892844627467
13,DeeJay Dallas,2024.0,10.0,10.0,36.0,0.0,0.0,0.0,2.0,0.1562643311335705,6.0,9.0,31.0,1.0,-7.687290642526932,0.036144578313253,6.2,2.75,2.397625765136036,-0.019655616159911078
18,Nick Chubb,2024.0,2.0,28.0,170.0,0.0,0.0,0.0,8.0,4.113698623608798,4.0,4.0,20.0,1.0,0.7501136377686635,0.1379310344827586,19.1,2.275,1.779889912184953,2.3068250009955116
28,Chuba Hubbard,2024.0,17.0,238.0,902.0,5.0,0.0,0.0,59.0,-21.51596444684838,39.0,44.0,269.0,9.0,-10.740264819702134,0.0866141732283464,143.5,8.3,9.615381520669745,5.350183972609991
29,Gary Brightwell,2024.0,3.0,9.0,19.0,0.0,0.0,0.0,0.0,-3.899821025552228,5.0,7.0,53.0,2.0,2.0630525096785277,0.075268817204301,6.6000000000000005,1.055,0.1932841425000658,0.16600827089190195
32,Rhamondre Stevenson,2024.0,12.0,156.0,619.0,4.0,1.0,1.0,36.0,-12.854978864108364,38.0,51.0,261.0,8.0,-18.016630836844765,0.1275,107.7,9.0,10.525729093439764,3.7650156196149287
33,Michael Carter,2024.0,15.0,30.0,187.0,0.0,0.0,0.0,9.0,3.0564268973000885,24.0,31.0,87.0,5.0,-14.75494195598475,0.0663811563169164,34.800000000000004,1.1875,0.3655999330601049,1.3887059132050648
36,James Conner,2024.0,13.0,208.0,1040.0,7.0,0.0,0.0,57.0,13.943058458103696,27.0,33.0,221.0,11.0,4.21923359669745,0.09375,174.5,9.5,11.17597735970406,8.191103578378327
38,Dare Ogunbowale,2024.0,7.0,10.0,42.0,0.0,0.0,0.0,2.0,-3.366614831060356,3.0,8.0,13.0,0.0,-10.057546451920643,0.0479041916167664,7.300000000000001,1.5,0.7720050994752912,-0.20273856440281465
57,Raheem Blackshear,2024.0,8.0,14.0,46.0,0.0,0.0,0.0,1.0,-4.492898128384578,6.0,7.0,38.0,1.0,-2.0544214530382305,0.0414201183431952,11.1,0.985,0.1022493852230641,0.2980207014989693
58,Ronnie Rivers,2024.0,8.0,35.0,138.0,0.0,0.0,0.0,5.0,-5.216205778637426,8.0,8.0,88.0,2.0,1.472169388900511,0.0444444444444444,19.5,0.985,0.1022493852230641,0.20548892844627467
