,season,player_display_name,games,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed,predicted_smoothed_salary
33,2021,Tim Patrick,16,53,85,734.0,5,202.0,39.0,37.65879882428589,0.173469387755102,103.4,1.295,0.2061563370871198,0.0400258367471964,1.2048192771084336,2024.0,6.836745336655053
104,2022,Dax Milne,7,6,7,37.0,1,13.0,2.0,2.490644900128246,0.0295358649789029,9.7,0.985,-0.045405678589883,-0.0762635056030579,0.4578313253012048,2024.0,-0.0529466868496562
102,2022,D'Wayne Eskridge,8,7,13,58.0,0,46.0,4.0,-1.964823661281784,0.0562770562770562,6.800000000000001,1.055,0.0113986475307304,-0.0500046218465489,0.6265060240963854,2024.0,-0.09031432102116012
113,2022,Jalen Virgil,4,2,5,75.0,1,43.0,2.0,5.6061608234304,0.0337837837837837,13.500000000000002,0.9725,-0.0555493082542783,-0.0809525919881488,0.427710843373494,2024.0,0.05656938700445903
118,2022,Danny Gray,5,1,7,10.0,0,4.0,1.0,-2.9469830194721,0.0573770491803278,1.9,0.225,-0.6621383621851161,-0.361359957816585,-1.3734939759036149,2024.0,-0.1970035331833061
87,2022,Quintez Cephus,1,2,3,15.0,0,4.0,1.0,2.9725595135823824,0.0769230769230769,1.5,1.055,0.0113986475307304,-0.0500046218465489,0.6265060240963854,2024.0,-0.1999935399535565
85,2022,Laviska Shenault,13,27,32,272.0,1,330.0,10.0,10.325950150261631,0.1155234657039711,45.7,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,1.1168947916107306
79,2022,D.J. Moore,17,63,118,888.0,7,186.0,44.0,17.1454779588789,0.2763466042154566,136.1,27.5,21.47126156552539,9.87022653445177,64.34939759036145,2024.0,14.08726120044054
202,2023,Quez Watkins,6,18,25,154.0,1,61.0,8.0,-4.60872213286666,0.1243781094527363,21.4,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,0.9702485792644661
206,2023,Devin Duvernay,6,4,9,18.0,0,17.0,0.0,-4.006126745357719,0.0596026490066225,3.3,4.25,2.604110389750164,1.1485258581826867,8.32530120481928,2024.0,-0.15251914747655515
203,2023,Darnell Mooney,14,31,61,414.0,1,181.0,20.0,-4.804643356433066,0.1513647642679901,47.900000000000006,13.0,9.70465115482686,4.430886327746321,29.409638554216873,2024.0,1.2420554018774432
204,2023,Justin Jefferson,10,68,100,1074.0,5,260.0,51.0,42.82270591843974,0.2680965147453083,136.2,35.0,27.55743936416255,12.683678365506314,82.42168674698796,2024.0,21.200597635536248
205,2023,Chase Claypool,7,8,21,77.0,1,25.0,4.0,-13.195911553726338,0.0967741935483871,13.7,1.225,0.1493520109665063,0.0137669529906874,1.0361445783132532,2024.0,-0.22742371418513374
213,2023,Van Jefferson,14,20,43,209.0,0,25.0,10.0,-17.639562277257596,0.0955555555555555,21.3,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,-0.26791056444334743
209,2023,CeeDee Lamb,18,144,198,1859.0,12,715.0,87.0,96.1004594953798,0.2986425339366516,281.7,34.0,26.74594899101093,12.30855145469904,80.01204819277109,2024.0,24.77910704608768
210,2023,Jalen Reagor,9,7,23,138.0,0,18.0,5.0,-11.38584533147514,0.0864661654135338,21.5,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,-0.20717597407780491
211,2023,Jerry Jeudy,16,54,87,758.0,2,323.0,28.0,16.952773686104997,0.195505617977528,87.8,17.5,13.356357834009165,6.118957426379047,40.25301204819277,2024.0,9.926448221779049
212,2023,Tee Higgins,12,42,76,656.0,5,235.0,33.0,26.474022851910785,0.1788235294117647,95.6,21.816,16.858750284531563,7.738005173423234,50.65301204819277,2024.0,5.1092163973586135
201,2023,Brandon Aiyuk,19,84,125,1491.0,8,389.0,70.0,90.0827736705121,0.2314814814814814,195.1,30.0,23.499987498404444,10.808043811469952,70.37349397590363,2024.0,20.493387657015102
208,2023,K.J. Osborn,15,48,75,540.0,3,185.0,28.0,6.3002140125773805,0.1381215469613259,72.0,4.0,2.4012377964622584,1.0547441304808685,7.722891566265062,2024.0,1.9975362343186658
200,2023,Jauan Jennings,15,29,46,376.0,2,128.0,20.0,15.542428064488,0.1077283372365339,54.34,5.945,3.979586572242164,1.7843659720010134,12.40963855421687,2024.0,1.421068855874298
