season,player_display_name,games,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year
1999,Donald Driver,4,3,7,31.0,1,0.0,2.0,0.45675438101170585,0.04430379746835443,9.1,2.0,-0.352915530105464
1999,Joey Galloway,9,23,59,357.0,1,0.0,18.0,-5.904613736018028,0.18971061093247588,41.6,6.0,0.9867363513790252
1999,Marvin Harrison,17,119,210,1700.0,12,0.0,83.0,68.0384402338604,0.36585365853658536,242.4,6.12,1.0132636486209745
1999,Charles Johnson,11,33,71,400.0,1,8.0,19.0,-1.4815860158582939,0.2282958199356913,46.0,0.51,-0.8893831833860023
1999,Randy Moss,18,93,155,1707.0,14,50.0,62.0,67.00711879200404,0.2705061082024433,268.08000000000004,9.076571,2.621478794712597
1999,Jerry Rice,16,67,124,830.0,5,22.0,41.0,24.38809547068388,0.22878228782287824,114.30000000000001,1.35,-0.6543819959427136
1999,Rod Smith,15,77,134,1004.0,4,0.0,47.0,24.75145116345314,0.26907630522088355,122.4,5.94161,1.973003397094332
1999,Brandon Stokley,1,0,3,0.0,0,0.0,0.0,-3.5039013829664327,0.061224489795918366,0.0,0.563,-1.2008800670297433
1999,Hines Ward,16,60,100,596.0,7,32.0,30.0,20.119755176122105,0.19230769230769232,103.4,2.0,-0.3787992679866835
2000,Donald Driver,15,21,49,322.0,1,0.0,16.0,10.057817255434369,0.08781362007168458,40.6,2.0,-0.352915530105464
2000,Joey Galloway,1,4,12,62.0,1,0.0,4.0,3.542343999377318,0.4,12.2,2.0,-0.2403161514897953
2000,Marvin Harrison,17,106,179,1471.0,14,0.0,71.0,61.69507169328176,0.3054607508532423,229.1,9.571429,2.5473450588474327
2000,Charles Johnson,18,63,113,701.0,7,0.0,37.0,29.275191199162244,0.17795275590551182,113.9,0.51,-0.8893831833860023
2000,Randy Moss,18,79,139,1554.0,17,0.0,58.0,81.82504039406332,0.25981308411214954,259.90000000000003,9.076571,2.621478794712597
2000,Jerry Rice,16,74,121,799.0,7,0.0,48.0,24.207717511606834,0.21568627450980393,117.7,1.35,-0.6543819959427136
2000,Rod Smith,17,101,179,1636.0,8,0.0,78.0,61.526755900692116,0.3080895008605852,225.8,5.94161,1.973003397094332
2000,Brandon Stokley,9,18,29,275.0,3,0.0,15.0,19.95190487865508,0.13122171945701358,46.1,0.563,-1.2008800670297433
2000,Hines Ward,16,48,83,672.0,4,0.0,31.0,21.695415471163848,0.19483568075117372,96.5,2.0,-0.3787992679866835
2001,Donald Driver,12,15,21,193.0,1,0.0,11.0,12.431417236464533,0.07094594594594594,37.6,2.0,-0.352915530105464
2001,Joey Galloway,16,52,112,699.0,3,0.0,33.0,-9.457829366666717,0.2814070351758794,91.06,2.0,-0.2403161514897953
2001,Marvin Harrison,16,109,164,1524.0,15,0.0,75.0,64.80139386704468,0.3020257826887661,242.70000000000002,9.571429,2.5473450588474327
2001,Charles Johnson,12,16,28,133.0,1,0.0,8.0,-1.2226527210273155,0.07909604519774012,19.3,0.51,-0.8893831833860023
2001,Randy Moss,16,82,153,1233.0,10,4.0,60.0,47.62200281041368,0.2828096118299446,188.26000000000002,9.25,2.8707466733997062
2001,Jerry Rice,18,96,144,1370.0,10,0.0,74.0,94.24691105200766,0.2408026755852843,197.0,1.75,-0.5004389359725967
2001,Rod Smith,15,113,172,1343.0,11,0.0,75.0,60.23675406250795,0.3706896551724138,205.0,5.94161,1.973003397094332
2001,Brandon Stokley,17,26,53,382.0,2,0.0,18.0,7.969730451656741,0.0941385435168739,50.300000000000004,0.563,-1.2008800670297433
2001,Hines Ward,18,103,162,1104.0,4,0.0,55.0,27.500253904188394,0.3176470588235294,143.1,5.5,1.287922151658439
2001,Chad Johnson,11,28,60,329.0,1,0.0,22.0,-5.309138560881685,0.14925373134328357,38.900000000000006,5.2,1.1881325918122907
2001,T.J. Houshmandzadeh,7,21,42,228.0,0,0.0,14.0,1.0345188554435825,0.14334470989761092,22.8,0.628,-0.7454613731623061
2001,Santana Moss,6,3,19,60.0,0,0.0,3.0,-14.57912722702843,0.09359605911330049,5.4,5.202,1.1621403629973996
2001,Reggie Wayne,11,27,49,345.0,0,0.0,19.0,5.059453021554517,0.13387978142076504,34.5,6.5,1.747439241138496
2002,Donald Driver,17,73,117,1128.0,10,0.0,50.0,47.35353504500865,0.19086460032626426,177.8,4.25,0.7674844292000136
2002,Joey Galloway,16,61,120,908.0,6,0.0,33.0,15.59993691277963,0.2684563758389262,127.89999999999999,2.0,-0.2403161514897953
2002,Marvin Harrison,17,147,213,1769.0,11,0.0,95.0,92.23173210040777,0.3446601941747573,245.9,9.571429,2.5473450588474327
2002,Charles Johnson,4,3,5,39.0,0,0.0,2.0,2.1354971524851862,0.03424657534246575,3.9000000000000004,0.51,-0.8893831833860023
2002,Randy Moss,16,106,184,1347.0,7,0.0,66.0,30.26958366473741,0.3376146788990826,184.32,9.25,2.8707466733997062
2002,Jerry Rice,19,106,170,1414.0,9,0.0,70.0,59.39717082271247,0.23480662983425415,195.4,4.874833,1.048959203848287
2002,Rod Smith,16,89,147,1027.0,5,0.0,52.0,12.950600163783038,0.27171903881700554,131.6,6.003243,1.5003342478703432
2002,Brandon Stokley,8,24,52,357.0,2,0.0,16.0,2.681482067639106,0.20634920634920634,48.800000000000004,1.425,-0.4275896049792489
2002,Hines Ward,18,130,188,1515.0,15,0.0,77.0,64.47569030024312,0.296998420221169,262.2,5.5,1.287922151658439
2002,Chad Johnson,16,69,137,1166.0,5,0.0,58.0,39.05061368746045,0.23992994746059546,146.6,5.2,1.1881325918122907
2002,T.J. Houshmandzadeh,15,41,69,492.0,1,0.0,26.0,-0.16214159317677002,0.1259124087591241,55.2,0.628,-0.7454613731623061
