player,year_signed,apy,med_adjusted_apy,mean_adjusted_apy,smooth_adjusted_apy
Joe Burrow,2023,55.0,102.55598607101356,7.401131193136977,13.842716300437493
Aaron Rodgers,2022,50.271667,97.28706648515471,6.72837601996016,14.051799889405979
Josh Allen,2021,43.0,86.1518858307849,5.693751006901826,14.463063458460333
Russell Wilson,2022,49.0,94.78356568636426,6.547441100019401,13.678367079243344
Dak Prescott,2024,60.0,106.22178123968555,8.112539604068289,14.48215602808202
Justin Herbert,2023,52.5,97.81694604887277,7.04542698767132,13.182838218655291
Lamar Jackson,2023,52.0,96.86913804444461,6.974286146578189,13.050862602298851
Patrick Mahomes,2020,45.0,94.10828025477706,5.978314371274351,11.904804112818132
Jalen Hurts,2023,51.0,94.97352203558829,6.832004464391926,12.78691136958597
Kyler Murray,2022,46.1,89.07440415548213,6.1348242216792395,12.826764301573059
Deshaun Watson,2022,46.0,88.87753651648619,6.120596053460614,12.797398688549945
Dak Prescott,2021,40.0,80.03567787971457,5.266905960343038,13.387723343751302
Trevor Lawrence,2024,55.0,97.22825567873689,7.401131193136977,13.21699976495757
Jordan Love,2024,55.0,97.22825567873689,7.401131193136977,13.21699976495757
Tua Tagovailoa,2024,53.1,93.81071596557639,7.130795996983078,12.73624038497028
Jared Goff,2024,53.0,93.63084545435741,7.116567828764452,12.71093725970779
Josh Allen,2025,55.0,163.12121212121212,7.401131193136977,11.205402553697741
Deshaun Watson,2020,39.0,81.36942675159234,5.124624278156776,10.216600737688601
Derek Carr,2022,40.47416,77.99894577379318,5.334370242768476,11.17470189787354
Matt Stafford,2022,40.0,77.06547817673005,5.266905960343038,11.035461907163146
Brett Favre,1997,7.87,1.0,0.6953955116984217,1.1871372187749119
Carson Palmer,2005,16.166667,3.4376398954580774,1.8758592489976744,2.9233281903271275
Aaron Rodgers,2018,33.5,76.04618937644342,4.342075026132331,8.291694806654096
Troy Aikman,1999,10.75,1.040816326530612,1.105166756394858,1.9077664834480192
Russell Wilson,2019,35.0,145.55837563451772,4.555497549411725,9.463663302434616
Mark Brunell,1997,7.625,0.3378378378378377,0.6605364995627874,1.121592316924414
Drew Bledsoe,1995,6.74375,2.3280998849563512,0.5351507671361436,2.019462307998251
Steve Young,1997,7.5,0.0,0.6427512892895046,1.0881510404700783
Ben Roethlisberger,2019,34.0,141.32825719120132,4.413215867225463,9.169480709155998
Aaron Rodgers,2013,22.0,50.41666666666668,2.705835680990312,3.984132874213579
Jared Goff,2019,33.5,139.2131979695431,4.342075026132331,9.02238941251669
Daniel Jones,2023,40.0,74.12174593816879,5.266905960343038,9.883447809744283
Kirk Cousins,2024,45.0,79.24120455683953,5.978314371274351,10.686687238708673
Peyton Manning,2004,14.0,2.53422210439784,1.5675822235002115,2.550559300350126
Brett Favre,2001,11.514286,1.7673626309092691,1.2139106541462679,1.8542465429924406
Carson Wentz,2019,32.0,132.8680203045685,4.128652502852938,8.581115522598763
Matt Ryan,2018,30.0,67.96304849884528,3.844089138480413,7.343147281096091
Matt Ryan,2013,20.75,47.4404761904762,2.527983578257484,3.701120246157621
Kirk Cousins,2022,35.0,67.22209622693327,4.555497549411725,9.567181256007482
Aaron Rodgers,2023,37.5,69.382705916028,4.911201754877381,9.223569727962081
Derek Carr,2023,37.5,69.382705916028,4.911201754877381,9.223569727962081
Kirk Cousins,2020,33.0,68.63057324840764,4.2709341850392,8.528397362559073
Drew Brees,2012,20.0,38.22,2.4212723166177867,3.4646280790471247
Joe Flacco,2013,20.1,45.89285714285715,2.4355004848364135,3.553953679568523
Matt Stafford,2017,27.0,97.83333333333333,3.417244091921625,7.310262530273273
Michael Vick,2004,13.0,2.210133033702184,1.425300541313949,2.293300421696437
Peyton Manning,2012,19.2,36.62,2.3074469708687766,3.279991699872995
Dak Prescott,2020,31.409,65.25265392781314,4.044564028680856,8.080742100920558
Andrew Luck,2016,24.594,74.21395348837211,3.0749143645814776,5.0850915117925926
Kirk Cousins,2018,28.0,63.34411085450348,3.5595257741078874,6.801120123634375
Dan Marino,1996,6.425,1.0000000000000018,0.4897984809392723,1.0673102815961528
Drew Bledsoe,2001,10.6,1.4094156797494373,1.0838245040669185,1.6315017712277433
Steve Young,1998,8.195833,1.6142413078891498,0.7417555790502183,1.2180553563644037
Drew Brees,2016,24.25,73.14728682170544,3.025969465909403,5.0026963385992245
Jimmy Garoppolo,2018,27.5,62.18937644341803,3.488384933014756,6.665613334268945
Russell Wilson,2015,21.9,70.19008264462809,2.6916075127716854,4.781607527278195
Ben Roethlisberger,2015,21.85,70.02479338842976,2.684493428662373,4.76851231594161
Derek Carr,2017,25.005,90.44444444444443,3.133392135960031,6.693126474704064
Peyton Manning,2011,18.0,16.118323219504784,2.136708952245262,2.8931834722833134
Ryan Tannehill,2020,29.5,61.199575371549884,3.7729482973872814,7.5436120604001795
Jacoby Brissett,2019,27.975,115.84179357021995,3.5559687320532314,7.397030584652329
Peyton Manning,1998,7.719,1.4591983716415922,0.6739109776882961,1.0848708304247205
Eli Manning,2015,21.0,67.21487603305785,2.5635539988040494,4.545893723219669
Tony Romo,2013,18.0,40.89285714285715,2.136708952245262,3.0784924644345137
Philip Rivers,2015,20.8125,66.59504132231405,2.536876183394125,4.4967866807074754
Cam Newton,2015,20.76,66.42148760330579,2.529406395079347,4.483036708804063
John Elway,1996,5.9,-0.9999999999999983,0.4151005977914845,0.9326897184038472
Lamar Jackson,2023,32.416,59.74539412700247,4.187841682642422,7.881641660849796
Matt Stafford,2013,17.666667,40.09920714285715,2.0892817722770682,3.0030225057562925
Kirk Cousins,2017,23.9436,86.51333333333332,2.982374358487532,6.36479153265837
Colin Kaepernick,2014,19.0,36.49870987718031,2.2789906344315245,3.842958535865406
Joe Flacco,2016,22.133333,66.58397829457365,2.724806524521253,4.495710454710598
Drew Brees,2018,25.0,56.41570438799077,3.1326807275490998,5.9880793874417995
Jake Plummer,1998,7.3728,1.346630943361871,0.6246530593154119,0.9881734900973559
Tom Brady,2005,12.0,2.260365896729533,1.2830188591276863,1.854150391195372
Tom Brady,2010,18.0,5.716885767069189,2.136708952245262,2.9015263084968255
Steve Young,2000,8.605,2.300070301959381,0.7999725481053248,1.527033512081127
Tom Brady,2021,25.0,49.454638124362894,3.1326807275490998,8.011022770206154
Jay Cutler,2014,18.1,34.71238597299079,2.150937120463888,3.6116588726897554
Carson Palmer,2016,21.0,63.06976744186047,2.5635539988040494,4.224253568603738
Ryan Tannehill,2015,19.25,61.429752066115704,2.31456105497809,4.0875613264392
Michael Vick,2011,16.0,14.158437186877583,1.8521455878727366,2.429455329491498
Alex Smith,2018,23.5,52.95150115473442,2.919258204269706,5.581559019345512
Eli Manning,2009,16.25,3.413808171291239,1.8877160084193023,2.263327430991962
Tom Brady,2016,20.5,61.51937984496125,2.492413157710918,4.104493142450586
Steve McNair,2004,10.541668,1.4134145003607919,1.0755249289816295,1.6608726880179563
Baker Mayfield,2024,33.333333,58.25631098172427,4.318361365007394,7.734655873741209
Matt Schaub,2012,15.5,29.22,1.7810047467796053,2.426048446192646
Kirk Cousins,2016,19.953,59.823255813953494,2.4145850775550324,3.973475236239038
Alex Smith,2014,17.0,32.52910120120359,1.9944272700589991,3.3289592843639597
Dan Marino,1999,7.25,0.3265306122448979,0.607180868742939,0.9443709532895367
Ben Roethlisberger,2008,14.664417,6.623515286814952,1.6621165919333616,2.695934430986479
Steve McNair,2001,8.5085,0.5905843202505627,0.7862423657743504,1.121955863113801
Philip Rivers,2020,25.0,51.64543524416135,3.1326807275490998,6.277459529053032
Tom Brady,2020,25.0,51.64543524416135,3.1326807275490998,6.277459529053032
Drew Brees,2020,25.0,51.64543524416135,3.1326807275490998,6.277459529053032
Philip Rivers,2009,15.3,3.1543587502731048,1.752548410342353,2.0814925505687105
Carson Palmer,2014,16.5,31.53669903220941,1.923286428965868,3.200459471488598
Brett Favre,2010,16.0,4.922552067084658,1.8521455878727366,2.4480384350426845
Tom Brady,2019,23.0,94.7969543147208,2.848117363176575,5.933472183091207
Andy Dalton,2014,16.0,30.54429686321523,1.8521455878727366,3.0719596586132365
Sam Darnold,2025,33.5,97.96969696969698,4.342075026132331,6.579258273144609
Tim Couch,1999,6.85,0.2448979591836733,0.5502681958684339,0.83426860698571
Peyton Manning,2015,17.0,53.99173553719008,1.9944272700589991,3.4982768162928832
Donovan McNabb,2002,8.398529,1.3330183384105159,0.7705955069026449,1.0326478300448738
Rob Johnson,1998,6.1625,0.9531001563978423,0.45244953936537835,0.6501238338344748
Jay Cutler,2009,14.45625,2.9239266987109462,1.6324982409976938,1.9199944659822699
Nick Foles,2019,22.0,90.56683587140438,2.705835680990312,5.63928958981259
Tyrod Taylor,2016,18.0,53.76744186046513,2.136708952245262,3.505691011684828
Brock Osweiler,2016,18.0,53.76744186046513,2.136708952245262,3.505691011684828
Donovan McNabb,2010,14.85,4.465810189593553,1.6885216533585343,2.187282907806553
Chad Pennington,2004,9.171143,0.9692423267456288,0.8805243265033021,1.3082929633511093
Sam Bradford,2018,20.0,44.86836027713627,2.4212723166177867,4.6330114937875075
Sam Bradford,2016,17.5,52.2170542635659,2.0655681111521305,3.385930585531676
Mark Sanchez,2012,13.491667,25.203333999999998,1.495255749149422,1.9625342795727498
Mark Brunell,2001,7.5,0.1957521777429774,0.6427512892895046,0.8762580154767409
