year_signed,SAD,smoothed_apy
1994,1.838,1.962
1995,2.3678332500000003,1.962
1996,3.899849975,2.262650025
1997,3.7378955965000005,3.4326050175
1998,3.58024325,3.8348985322499995
1999,3.632983432489286,3.8191159725749997
2000,2.993323,4.034095466516785
2001,4.104635061719125,3.9032806265617497
2002,3.5541218333333333,4.728372801093225
2003,2.6027101369217522,4.520530910765257
2004,3.8871350339132804,4.08563158753568
2005,3.8970758683762567,4.774235254132119
2006,2.412437833333333,4.770807324951306
2007,3.897951603599749,4.599271477465914
2008,3.780980000334802,4.471142834226139
2009,5.2245201679057,4.425200190208297
2010,4.4102612596150275,5.20351092788265
2011,4.312871735494113,5.5220707767905814
2012,4.332840600418862,4.988318793753407
2013,4.416764045429263,4.403025168960718
2014,3.891056249902674,4.046832170904081
2015,3.8181896202249312,3.6429157713569946
2016,4.175001843769254,3.363733562530541
2017,3.2326745164158788,3.3683006100757265
2018,3.6898520165777113,2.90487319682045
2019,3.3992493874473064,2.830648316191581
2020,3.554074164518028,2.6894432689851135
2021,2.7898150166301128,2.6507283771131087
2022,3.4053435193500396,2.4204613114077476
2023,3.7885786314465677,2.5557808229854233
2024,3.952080976662855,2.7653466603537553
2025,4.647498801621751,2.9229050600004376
