year_signed,MAD,med_apy
1994,0.05,0.112
1995,0.375,0.5
1996,0.5775,1.165
1997,0.0,1.15
1998,1.4525000000000001,2.164375
1999,0.8733330000000001,1.08
2000,0.06000000000000005,6.0600000000000005
2001,0.716,1.228
2002,0.7185,1.545
2003,2.2775,3.1499165
2004,0.23604999999999998,0.31
2005,1.0500999999999998,1.13
2006,0.39675000000000005,0.51575
2007,0.9225000000000001,1.2075
2008,0.3747910000000001,0.631459
2009,1.0889125,1.545
2010,0.48532099999999995,0.905
2011,0.149439,0.566939
2012,0.2822525,0.6427475
2013,0.27922399999999997,0.5768225
2014,0.18840300000000004,0.608403
2015,0.14753400000000005,0.627534
2016,0.09000000000000002,0.54
2017,0.07500000000000001,0.54
2018,0.12823449999999997,0.555
2019,0.09196000000000004,0.57
2020,0.3510000000000001,0.555
2021,0.40800000000000003,0.66
2022,0.41500000000000015,0.705
2023,0.3792,0.75
2024,0.4149999999999999,0.795
2025,0.1399999999999999,1.03
