year_signed,SAD,smoothed_apy
1994,0.03595555555555556,0.11003333333333333
1995,0.6306333333333333,0.11003333333333333
1996,2.2182766666666667,0.29922333333333334
1997,0.18529366666666658,0.9647063333333333
1998,1.9982902833333334,1.0202944333333333
1999,1.2414401177777776,1.5109873533333331
2000,4.5236421526666675,1.536357847333333
2001,2.358638383548148,2.893450493133333
2002,1.6946463412399997,2.5980670118599996
2003,2.3364165,2.4240274083019995
2004,2.716050634820173,2.6527108358113995
2005,2.369182400506798,2.4486775050679794
2006,2.296024237637241,2.4878371485475856
2007,2.2026688774664156,2.3567645098656627
2008,2.2959670122972033,2.4114897569059637
2009,2.0351169930089386,2.275285649189013
2010,2.0119192586080774,2.304079134432309
2011,2.0668634724215043,2.3121873216026163
2012,2.0963148430008047,2.1025815113718314
2013,1.9744840556410765,2.046520446735792
2014,1.6031821457948534,1.9358432403746288
2015,1.8177421906916464,1.7729773825479545
2016,1.4558102985096326,1.7545412897223436
2017,1.3399516819484385,1.5639158117608645
2018,1.272823685948806,1.3564906201177038
2019,1.1669835796801482,1.2557192048141
2020,1.0013685518337716,1.1870119247491804
2021,0.8813583116924953,1.086286264901218
2022,1.0856652875121278,1.0445137976579268
2023,0.6914628687021269,1.1066190670009552
2024,1.2323005091437549,1.0409534408443306
2025,1.4986456748499928,1.1906922796399826
