,name,height,weight,age,position,feature_1,feature_2,feature_3,actual_salary,predicted_salary
0,Jared Goff,76.0,223.0,30.0,QB,311.1,31.5,48.5,53.0,38.58
1,Tua Tagovailoa,73.0,218.0,27.0,QB,257.87,27.5,84.5,53.1,35.17
2,Dak Prescott,74.0,238.0,31.0,QB,309.55,33.5,257.5,60.0,38.24
3,Davis Mills,76.0,225.0,26.0,QB,99.59,9.5,56.5,4.06,3.41
4,Trevor Lawrence,78.0,220.0,25.0,QB,296.88,25.5,332.0,55.0,40.44
5,Tyrod Taylor,73.0,215.0,35.0,QB,49.33,3.0,133.5,6.0,2.63
6,Kirk Cousins,75.0,202.0,36.0,QB,233.07,24.5,61.5,45.0,31.07
7,Skylar Thompson,74.0,221.0,27.0,QB,28.56,2.0,24.0,0.22,2.29
8,Desmond Ridder,76.0,215.0,25.0,QB,109.43,7.0,128.5,0.98,4.75
9,Joe Flacco,78.0,245.0,40.0,QB,114.42,14.0,15.0,4.5,4.45
10,Jimmy Garoppolo,74.0,225.0,33.0,QB,64.1,7.0,39.0,3.18,3.27
11,Jameis Winston,76.0,231.0,31.0,QB,11.96,2.0,-6.0,4.0,2.12
12,Taylor Heinicke,73.0,210.0,32.0,QB,66.0,5.0,124.0,2.53,2.87
13,Trevor Siemian,75.0,220.0,33.0,QB,26.96,2.0,40.0,0.3,2.7
14,Marcus Mariota,76.0,222.0,31.0,QB,11.76,1.0,52.0,6.0,2.56
15,Jeff Driskel,76.0,235.0,32.0,QB,13.94,2.0,33.0,1.15,2.21
16,Carson Wentz,77.0,237.0,32.0,QB,26.12,2.0,56.0,2.5,3.38
17,Jacoby Brissett,76.0,235.0,32.0,QB,22.86,3.0,19.0,8.0,6.96
18,Nick Mullens,73.0,210.0,30.0,QB,66.74,7.0,25.0,1.9,4.4
19,Mitchell Trubisky,74.0,215.0,30.0,QB,48.68,4.0,54.0,2.62,2.22
20,C.J. Beathard,74.0,215.0,31.0,QB,21.46,1.0,35.0,1.31,3.43
21,Joshua Dobbs,75.0,216.0,30.0,QB,202.66,13.0,421.0,2.25,7.92
22,Tim Boyle,76.0,233.0,30.0,QB,10.9,1.0,5.0,1.15,2.24
23,Mike White,76.0,225.0,30.0,QB,2.06,1.0,-9.0,1.16,2.5
24,Mason Rudolph,77.0,235.0,29.0,QB,56.32,5.0,24.0,2.87,4.05
25,Baker Mayfield,73.0,215.0,30.0,QB,324.6,34.0,194.0,33.33,40.19
26,Sam Darnold,75.0,225.0,27.0,QB,23.38,2.0,15.0,10.0,3.02
27,Brett Rypien,74.0,200.0,28.0,QB,6.78,0.0,19.0,1.12,2.14
28,Jake Browning,74.0,209.0,29.0,QB,143.44,12.0,127.0,0.97,12.56
29,Easton Stick,73.0,224.0,29.0,QB,67.56,3.0,144.0,2.67,2.75
30,Gardner Minshew,73.0,225.0,28.0,QB,196.2,15.0,100.0,12.5,13.75
31,Drew Lock,76.0,228.0,28.0,QB,29.12,3.0,14.0,5.0,2.91
32,Daniel Jones,77.0,220.0,27.0,QB,56.96,2.0,206.0,1.12,2.62
33,Tyler Huntley,73.0,205.0,27.0,QB,25.62,3.0,55.0,1.29,3.23
34,Jordan Love,76.0,220.0,26.0,QB,355.9,37.0,249.0,55.0,42.87
35,Bailey Zappe,73.0,220.0,26.0,QB,69.18,6.0,83.0,0.98,2.92
36,Jaren Hall,73.0,205.0,27.0,QB,2.12,0.0,14.0,0.97,2.76
37,Julius Chestnut,73.0,215.0,24.0,RB,5.3,12.0,0.04,0.98,0.92
38,A.J. Dillon,73.0,250.0,26.0,RB,139.6,770.0,0.1,2.74,3.33
39,Cam Akers,71.0,212.0,25.0,RB,35.7,167.0,0.06,1.18,0.97
40,Chuba Hubbard,73.0,207.0,25.0,RB,143.5,902.0,0.09,8.3,3.49
41,Deon Jackson,72.0,220.0,26.0,RB,-1.0,16.0,0.15,1.06,2.99
42,Ke'Shawn Vaughn,70.0,215.0,27.0,RB,4.4,42.0,0.04,1.12,0.8
43,DeeJay Dallas,70.0,214.0,26.0,RB,6.2,36.0,0.04,2.75,0.77
44,La'Mical Perine,71.0,220.0,27.0,RB,11.0,77.0,0.09,1.06,0.99
45,Clyde Edwards-Helaire,68.0,209.0,26.0,RB,57.1,276.0,0.05,1.7,1.9
46,Antonio Gibson,74.0,221.0,26.0,RB,79.4,265.0,0.11,3.75,2.4
47,Darrynton Evans,71.0,200.0,26.0,RB,23.0,121.0,0.08,1.06,0.88
48,D'Andre Swift,70.0,211.0,26.0,RB,166.9,1083.0,0.12,8.0,5.14
49,Zack Moss,70.0,215.0,27.0,RB,142.6,794.0,0.1,4.0,2.71
50,J.K. Dobbins,70.0,214.0,26.0,RB,9.7,22.0,0.14,1.61,3.19
51,Rico Dowdle,72.0,215.0,26.0,RB,79.0,372.0,0.05,1.25,1.63
52,Joshua Kelley,71.0,219.0,27.0,RB,53.7,405.0,0.04,1.12,1.44
53,Gary Brightwell,73.0,218.0,27.0,RB,6.6,19.0,0.08,1.06,0.92
54,Jake Funk,70.0,205.0,27.0,RB,2.2,10.0,0.03,1.06,1.19
55,Salvon Ahmed,71.0,196.0,26.0,RB,26.9,61.0,0.09,1.29,0.7
56,Elijah Dotson,72.0,200.0,26.0,RB,1.9,6.0,0.05,0.92,1.16
57,Emanuel Wilson,73.0,220.0,25.0,RB,15.5,121.0,0.04,0.92,0.95
58,Chris Rodriguez Jr.,,,,RB,35.9,247.0,0.03,0.92,1.15
59,Evan Hull,71.0,210.0,24.0,RB,0.7,1.0,0.03,0.8,0.83
60,Ronnie Rivers,68.0,190.0,26.0,RB,19.5,138.0,0.04,0.98,0.95
61,Raheem Blackshear,69.0,194.0,26.0,RB,11.1,46.0,0.04,0.98,0.84
62,Keaontay Ingram,72.0,215.0,25.0,RB,10.0,74.0,0.04,0.98,0.91
63,Kevin Harris,70.0,220.0,24.0,RB,18.3,65.0,0.06,0.22,0.93
65,Trey Sermon,73.0,215.0,26.0,RB,17.3,160.0,0.04,1.06,0.81
66,Michael Carter,70.0,190.0,26.0,RB,34.8,187.0,0.07,1.19,1.51
69,Rhamondre Stevenson,72.0,246.0,27.0,RB,107.7,619.0,0.13,9.0,3.57
70,Isaiah Spiller,73.0,215.0,23.0,RB,13.0,96.0,0.05,0.22,0.94
71,Joe Mixon,73.0,220.0,28.0,RB,215.0,1034.0,0.11,9.88,5.35
72,Gus Edwards,73.0,238.0,30.0,RB,182.5,870.0,0.06,3.25,3.95
73,Jeff Wilson,,,,RB,27.9,188.0,0.07,1.75,0.98
74,D'Onta Foreman,73.0,233.0,29.0,RB,80.2,425.0,0.09,1.29,1.5
75,Kareem Hunt,71.0,216.0,29.0,RB,119.0,437.0,0.06,1.21,2.27
76,Alvin Kamara,70.0,215.0,29.0,RB,158.0,694.0,0.19,12.25,6.23
77,Dalvin Cook,70.0,210.0,29.0,RB,27.5,237.0,0.05,0.48,1.09
78,Dare Ogunbowale,70.0,205.0,30.0,RB,7.3,42.0,0.05,1.5,0.61
79,Austin Ekeler,70.0,200.0,29.0,RB,134.4,628.0,0.15,4.22,4.18
80,Samaje Perine,71.0,240.0,29.0,RB,71.3,238.0,0.12,1.5,3.5
81,Matt Breida,70.0,190.0,30.0,RB,29.9,151.0,0.06,1.21,0.7
82,Aaron Jones,69.0,208.0,30.0,RB,149.6,882.0,0.12,7.0,5.28
84,Christian McCaffrey,71.0,205.0,28.0,RB,394.3,1727.0,0.2,19.0,15.39
85,Ezekiel Elliott,72.0,228.0,29.0,RB,123.5,642.0,0.14,2.0,3.4
86,Derrick Henry,75.0,247.0,31.0,RB,218.66,1167.0,0.08,8.0,7.79
87,Ameer Abdullah,69.0,203.0,31.0,RB,22.0,89.0,0.05,1.85,0.81
88,Raheem Mostert,70.0,197.0,33.0,RB,245.7,1045.0,0.07,4.13,5.99
89,James Conner,73.0,233.0,29.0,RB,174.5,1040.0,0.09,9.5,4.72
90,Mike Boone,70.0,205.0,29.0,RB,6.3,23.0,0.06,1.12,0.86
91,Boston Scott,66.0,203.0,30.0,RB,13.8,86.0,0.03,1.23,0.93
92,Tony Jones,67.0,142.0,59.0,RB,25.2,95.0,0.09,1.06,0.88
97,James Robinson,75.0,200.0,,RB,0.0,2.0,0.03,1.06,0.83
99,Josh Jacobs,70.0,220.0,27.0,RB,144.1,805.0,0.14,12.0,4.64
100,David Montgomery,70.0,222.0,27.0,RB,226.0,1198.0,0.07,9.12,6.48
101,D'Ernest Johnson,70.0,208.0,29.0,RB,24.8,108.0,0.04,1.27,1.21
102,Craig Reynolds,71.0,215.0,28.0,RB,32.7,180.0,0.03,1.12,1.15
103,Ty Johnson,70.0,210.0,27.0,RB,33.4,198.0,0.05,1.29,1.02
104,Trayveon Williams,68.0,206.0,27.0,RB,7.9,69.0,0.04,1.29,0.77
105,Tony Pollard,72.0,209.0,27.0,RB,182.1,1061.0,0.12,7.25,4.82
106,Devin Singletary,67.0,203.0,27.0,RB,157.34,986.0,0.08,5.5,3.25
107,Justice Hill,70.0,200.0,27.0,RB,92.7,456.0,0.11,3.0,2.51
108,Alexander Mattison,71.0,220.0,26.0,RB,103.2,700.0,0.08,2.0,2.1
109,Saquon Barkley,71.0,233.0,28.0,RB,182.2,962.0,0.15,12.58,4.49
110,Royce Freeman,72.0,238.0,29.0,RB,45.2,319.0,0.04,1.29,1.15
111,Nick Chubb,71.0,225.0,29.0,RB,19.1,170.0,0.14,2.28,3.32
112,Rashaad Penny,71.0,220.0,29.0,RB,3.8,33.0,0.05,1.29,0.78
113,Chase Edmonds,69.0,210.0,29.0,RB,31.4,207.0,0.06,1.5,0.98
114,Patrick Taylor,75.0,223.0,26.0,RB,19.6,147.0,0.06,1.06,0.82
115,Tim Patrick,76.0,212.0,31.0,WR,103.4,0.17,734.0,1.3,7.31
116,Dax Milne,73.0,190.0,25.0,WR,9.7,0.03,37.0,0.98,0.91
117,D'Wayne Eskridge,69.0,190.0,28.0,WR,6.8,0.06,58.0,1.06,0.87
118,Jalen Virgil,73.0,210.0,26.0,WR,13.5,0.03,75.0,0.97,0.92
119,Danny Gray,74.0,199.0,26.0,WR,1.9,0.06,10.0,0.22,0.81
120,Quintez Cephus,73.0,205.0,27.0,WR,1.5,0.08,15.0,1.06,0.85
121,Laviska Shenault,,,,WR,45.7,0.12,272.0,1.29,2.59
122,D.J. Moore,71.0,215.0,28.0,WR,136.1,0.28,888.0,27.5,12.23
124,Quez Watkins,74.0,190.0,26.0,WR,21.4,0.12,154.0,1.29,1.57
125,Devin Duvernay,71.0,210.0,27.0,WR,3.3,0.06,18.0,4.25,0.85
126,Darnell Mooney,71.0,172.0,27.0,WR,47.9,0.15,414.0,13.0,2.51
127,Justin Jefferson,75.0,192.0,25.0,WR,136.2,0.27,1074.0,35.0,23.0
128,Chase Claypool,76.0,227.0,26.0,WR,13.7,0.1,77.0,1.23,0.85
129,Van Jefferson,74.0,197.0,28.0,WR,21.3,0.1,209.0,1.29,0.93
130,CeeDee Lamb,74.0,189.0,26.0,WR,281.7,0.3,1859.0,34.0,26.84
131,Jalen Reagor,71.0,195.0,26.0,WR,21.5,0.09,138.0,1.29,0.87
132,Jerry Jeudy,73.0,192.0,26.0,WR,87.8,0.2,758.0,17.5,7.88
133,Brandon Aiyuk,73.0,206.0,27.0,WR,195.1,0.23,1491.0,30.0,20.78
134,K.J. Osborn,72.0,200.0,27.0,WR,72.0,0.14,540.0,4.0,2.52
135,Jauan Jennings,75.0,214.0,27.0,WR,54.34,0.11,376.0,5.94,2.03
136,Gunner Olszewski,72.0,190.0,28.0,WR,4.0,0.03,0.0,1.12,0.83
137,Donovan Peoples-Jones,74.0,208.0,26.0,WR,15.5,0.06,155.0,1.3,1.01
138,Nick Westbrook-Ikhine,75.0,215.0,28.0,WR,57.0,0.12,370.0,2.0,1.83
139,Mason Kinsey,72.0,195.0,26.0,WR,0.6,0.04,6.0,0.97,0.84
140,Isaiah Hodgins,76.0,209.0,26.0,WR,39.0,0.08,230.0,1.03,1.39
141,James Proche,72.0,193.0,28.0,WR,0.0,0.09,0.0,1.12,0.83
142,Trishton Jackson,73.0,191.0,27.0,WR,2.9,0.05,9.0,0.98,0.85
143,Miles Boykin,76.0,220.0,28.0,WR,1.7,0.04,17.0,1.29,0.98
144,A.J. Brown,72.0,226.0,27.0,WR,183.6,0.3,1456.0,32.0,23.5
145,Marquise Brown,69.0,170.0,27.0,WR,83.7,0.25,574.0,7.0,4.4
146,Tyler Johnson,74.0,205.0,26.0,WR,6.8,0.13,8.0,1.13,1.71
147,Collin Johnson,78.0,215.0,27.0,WR,1.1,0.03,11.0,1.06,0.85
148,Justyn Ross,76.0,205.0,25.0,WR,5.3,0.06,53.0,0.3,0.87
149,Tim Jones,73.0,202.0,26.0,WR,8.3,0.06,83.0,0.98,0.92
150,Ronnie Bell,72.0,190.0,25.0,WR,24.8,0.06,68.0,0.22,1.05
151,A.T. Perry,77.0,205.0,25.0,WR,48.6,0.07,246.0,0.22,1.65
152,Jason Brownlee,75.0,202.0,26.0,WR,11.6,0.06,56.0,0.22,0.86
153,Tyquan Thornton,75.0,180.0,24.0,WR,14.2,0.08,91.0,0.22,0.87
154,Erik Ezukanma,75.0,220.0,25.0,WR,2.2,0.03,0.0,1.04,0.81
155,Rashid Shaheed,72.0,180.0,26.0,WR,111.6,0.14,719.0,3.09,6.88
156,Deven Thompkins,68.0,155.0,25.0,WR,19.3,0.07,87.0,0.98,1.79
157,Brandon Johnson,74.0,186.0,26.0,WR,54.4,0.1,284.0,0.35,1.79
160,Kyle Philips,71.0,191.0,25.0,WR,18.1,0.1,181.0,0.22,1.26
161,David Bell,74.0,205.0,24.0,WR,40.1,0.08,221.0,1.25,1.55
162,Parris Campbell,72.0,205.0,27.0,WR,10.4,0.11,104.0,1.29,0.72
163,Samori Toure,75.0,190.0,27.0,WR,9.8,0.07,78.0,0.22,0.86
