,name,height,weight,age,position,feature_1,feature_2,feature_3,actual_salary,predicted_salary
0,Jared Goff,76.0,223.0,30.0,QB,311.1,31.5,48.5,53.0,39.69
1,Tua Tagovailoa,73.0,218.0,27.0,QB,257.87,27.5,84.5,53.1,32.55
2,Dak Prescott,74.0,238.0,31.0,QB,309.55,33.5,257.5,60.0,39.31
3,Davis Mills,76.0,225.0,26.0,QB,99.59,9.5,56.5,4.06,4.33
4,Trevor Lawrence,78.0,220.0,25.0,QB,296.88,25.5,332.0,55.0,39.52
5,Tyrod Taylor,73.0,215.0,35.0,QB,49.33,3.0,133.5,6.0,2.29
7,Kirk Cousins,75.0,202.0,36.0,QB,233.07,24.5,61.5,45.0,27.71
8,Skylar Thompson,74.0,221.0,27.0,QB,28.56,2.0,24.0,0.22,2.21
9,Desmond Ridder,76.0,215.0,25.0,QB,109.43,7.0,128.5,0.98,4.37
10,Joe Flacco,78.0,245.0,40.0,QB,114.42,14.0,15.0,4.5,5.25
11,Jimmy Garoppolo,74.0,225.0,33.0,QB,64.1,7.0,39.0,3.18,4.19
12,Jameis Winston,76.0,231.0,31.0,QB,11.96,2.0,-6.0,4.0,1.93
13,Taylor Heinicke,73.0,210.0,32.0,QB,66.0,5.0,124.0,2.53,3.05
14,Trevor Siemian,75.0,220.0,33.0,QB,26.96,2.0,40.0,0.3,2.97
15,Marcus Mariota,76.0,222.0,31.0,QB,11.76,1.0,52.0,6.0,2.55
16,Jeff Driskel,76.0,235.0,32.0,QB,13.94,2.0,33.0,1.15,1.92
17,Carson Wentz,77.0,237.0,32.0,QB,26.12,2.0,56.0,2.5,3.21
18,Jacoby Brissett,76.0,235.0,32.0,QB,22.86,3.0,19.0,8.0,3.32
19,Nick Mullens,73.0,210.0,30.0,QB,66.74,7.0,25.0,1.9,4.55
20,Mitchell Trubisky,74.0,215.0,30.0,QB,48.68,4.0,54.0,2.62,2.14
21,C.J. Beathard,74.0,215.0,31.0,QB,21.46,1.0,35.0,1.31,3.33
22,Joshua Dobbs,75.0,216.0,30.0,QB,202.66,13.0,421.0,2.25,12.46
23,Tim Boyle,76.0,233.0,30.0,QB,10.9,1.0,5.0,1.15,2.17
24,Mike White,76.0,225.0,30.0,QB,2.06,1.0,-9.0,1.16,3.03
25,Mason Rudolph,77.0,235.0,29.0,QB,56.32,5.0,24.0,2.87,3.46
26,Baker Mayfield,73.0,215.0,30.0,QB,324.6,34.0,194.0,33.33,39.17
27,Sam Darnold,75.0,225.0,27.0,QB,23.38,2.0,15.0,10.0,2.77
28,Brett Rypien,74.0,200.0,28.0,QB,6.78,0.0,19.0,1.12,1.92
29,Jake Browning,74.0,209.0,29.0,QB,143.44,12.0,127.0,0.97,9.06
30,Easton Stick,73.0,224.0,29.0,QB,67.56,3.0,144.0,2.67,3.25
31,Gardner Minshew,73.0,225.0,28.0,QB,196.2,15.0,100.0,12.5,9.04
32,Drew Lock,76.0,228.0,28.0,QB,29.12,3.0,14.0,5.0,2.96
33,Daniel Jones,77.0,220.0,27.0,QB,56.96,2.0,206.0,1.12,2.61
34,Tyler Huntley,73.0,205.0,27.0,QB,25.62,3.0,55.0,1.29,2.67
35,Jordan Love,76.0,220.0,26.0,QB,355.9,37.0,249.0,55.0,43.46
36,Bailey Zappe,73.0,220.0,26.0,QB,69.18,6.0,83.0,0.98,3.46
37,Jaren Hall,73.0,205.0,27.0,QB,2.12,0.0,14.0,0.97,3.01
38,Derrick Henry,75.0,247.0,31.0,RB,218.66,1167.0,0.08,8.0,8.02
39,Christian McCaffrey,71.0,205.0,28.0,RB,394.3,1727.0,0.2,19.0,15.23
40,Austin Ekeler,70.0,200.0,29.0,RB,134.4,628.0,0.15,4.22,4.31
41,Alvin Kamara,70.0,215.0,29.0,RB,158.0,694.0,0.19,12.25,6.16
42,J.K. Dobbins,70.0,214.0,26.0,RB,9.7,22.0,0.14,1.61,3.35
43,Zack Moss,70.0,215.0,27.0,RB,142.6,794.0,0.1,4.0,2.78
44,A.J. Dillon,73.0,250.0,26.0,RB,139.6,770.0,0.1,2.74,3.3
45,D'Andre Swift,70.0,211.0,26.0,RB,166.9,1083.0,0.12,8.0,5.07
46,Antonio Gibson,74.0,221.0,26.0,RB,79.4,265.0,0.11,3.75,2.07
